t8,datetime,close,rsi,momentum,macd,adx
11698.0,2018-01-02 10:00:00,11363.9,46.764649899782576,1.1740253415544117,-94.08783289958956,37.36702192777228
12275.0,2018-01-02 11:00:00,11425.8,48.8453269150035,0.19653573019574822,-77.93378378102352,34.97094280392935
12308.2,2018-01-02 12:00:00,11440.3,49.34477555591115,-0.795594713656385,-63.23264804675091,32.48918048257365
12470.0,2018-01-02 13:00:00,11480.0,50.7622362670494,1.1963163783458128,-47.827112664666856,30.270482295450446
12381.9,2018-01-02 14:00:00,11705.4,57.95575575854346,-1.7860869565217428,-17.23158365973177,29.545706265932147
12321.0,2018-01-02 15:00:00,11668.7,56.50814763452987,-3.3524649696196747,4.008008394388526,28.27527234919302
12299.8,2018-01-02 16:00:00,11550.0,51.98537306820517,-3.8762478640165483,11.134093241413211,26.728673369379123
12371.8,2018-01-02 17:00:00,11532.4,51.329369156394314,-4.834281766449095,15.186335292599324,25.55958776436047
12399.9,2018-01-02 18:00:00,11698.0,56.8471798373625,-6.0110379076911755,31.398361568684777,24.700128905775063
12571.0,2018-01-02 19:00:00,12275.0,69.7258691826303,-9.330744428808103,89.77076549930825,26.094084523221873
12471.0,2018-01-02 20:00:00,12308.2,70.27556576287746,-8.99929153382925,137.1295347839914,27.98710233902902
12655.4,2018-01-02 21:00:00,12470.0,72.86174373379005,-9.326506636741414,185.5783764197513,29.911000251777807
12660.0,2018-01-02 22:00:00,12381.9,69.32489794581545,-8.958192169941654,214.39409705836988,31.36437490841095
12861.3,2018-01-02 23:00:00,12321.0,66.9071277601312,-7.834899963241099,229.66915913069715,32.7139370895703
12770.0,2018-01-03 00:00:00,12299.8,66.04363245150972,-7.512914871113523,237.32831990952036,33.22500976852166
12710.0,2018-01-03 01:00:00,12371.8,67.57422393938563,-7.768292682926827,246.3680804067826,33.73735370579798
12518.5,2018-01-03 02:00:00,12399.9,68.17711129397645,-5.93315905479524,252.88449583447255,34.21310164755456
12432.6,2018-01-03 03:00:00,12571.0,71.6353260846133,-7.732652309168969,268.7570777697347,35.00671791280098
12588.0,2018-01-03 04:00:00,12471.0,67.0492529006332,-7.974025974025963,270.1528946390172,35.948615186325675
12346.7,2018-01-03 05:00:00,12655.4,70.7658828468531,-9.737782248274414,282.87778939826785,36.87233344238759
12595.0,2018-01-03 06:00:00,12660.0,70.854199305268,-8.223627970593256,289.9907093447091,37.7760792074574
12600.0,2018-01-03 07:00:00,12861.3,74.48657713146042,-4.776374745417499,308.31689210223703,39.06343385339805
12646.7,2018-01-03 08:00:00,12770.0,70.2125112000904,-3.7519702312279577,311.87823879714233,40.31980850911998
12746.6,2018-01-03 09:00:00,12710.0,67.47248290405925,-1.9246190858059435,306.32797493933685,40.91420269958802
